date,symbol,name,currency,price,eps,pe_now,pe_mean,pe_median,pe_std,pe_sigma,price_low,price_fair,price_high,group,forward_pe,pb,pcf,peg,dividend_yield,ev_ebitda,wk52_low,wk52_high,wk52_pos,iv,iv_days,iv_expiry,iv_status,iv_rank,ivr_days
2026-09-04,AMD,"Advanced Micro Devices, Inc.",USD,456.16,3.93,116.0712,123.0232,123.4135,13.3244,-0.5217,431.1161,483.481,535.8459,均值~低估,29.5235,11.0743,73.876,0.48,,77.108,149.22,584.73,70.4783,0.4833,29.0,2026-10-02,ok,18.501,2
2026-09-04,AMZN,"Amazon.com, Inc.",USD,258.9,12.42,20.8454,20.5571,20.8345,1.1398,0.253,241.1623,255.319,269.4757,高估~均值,24.8935,5.061,17.3019,1.49,,17.044,196.0,287.2,68.9693,0.303,29.0,2026-10-02,ok,24.0451,2
2026-09-04,APP,Applovin Corporation,USD,313.58,13.02,24.0845,34.1027,35.5207,6.6435,-1.508,357.5195,444.0174,530.5154,顯著低估,14.9489,33.2393,21.1749,0.67,,19.803,297.5,745.61,3.5884,0.55,29.0,2026-10-02,ok,12.1771,2
2026-09-04,ASML,ASML Holding N.V. - New York Re,USD,1646.19,29.44,55.9168,57.8145,59.0019,4.5645,-0.4157,1567.6789,1702.0578,1836.4366,均值~低估,27.4075,1388.4692,55.0454,1.49,0.54,2661.014,735.43,1999.96,72.0236,0.4153,29.0,2026-10-02,ok,31.6027,2
2026-09-04,AVGO,Broadcom Inc.,USD,357.16,7.82,45.6726,50.8214,50.1854,3.4042,-1.5125,370.8021,397.423,424.0439,顯著低估,18.4813,20.8293,50.5389,0.42,0.7,42.592,289.96,495.0,32.7741,0.3807,29.0,2026-10-02,ok,7.8789,3
2026-09-04,BE,Bloom Energy Corporation,USD,235.55,0.76,309.9342,332.0703,334.1184,52.3431,-0.4229,212.5927,252.3734,292.1542,均值~低估,47.8748,42.8662,94.0328,0.48,,153.225,52.0,351.28,61.3305,0.839,29.0,2026-10-02,ok,5.0729,2
2026-09-04,COHR,Coherent Corp.,USD,264.41,4.11,64.3333,81.944,80.6873,11.5742,-1.5215,289.2197,336.7898,384.3598,顯著低估,18.9469,4.747,651.2061,0.92,,38.292,90.0,440.0,49.8314,0.6763,29.0,2026-10-02,ok,32.2597,2
2026-09-04,CRM,"Salesforce, Inc.",USD,264.43,10.92,24.2152,16.8082,16.4629,2.2712,3.2612,158.7442,183.546,208.3478,顯著高估,16.5166,5.6706,13.8175,1.07,0.69,18.794,146.32,269.11,96.1886,0.3861,29.0,2026-10-02,ok,39.486,2
2026-09-04,CRWD,"CrowdStrike Holdings, Inc.",USD,214.97,0.04,5374.25,4497.9687,4632.5001,742.7451,1.1798,150.2089,179.9187,209.6286,顯著高估,134.2681,43.1407,109.1509,6.88,,1910.266,85.68,233.88,87.2402,0.5033,29.0,2026-10-02,ok,45.8991,2
2026-09-04,CRWV,"CoreWeave, Inc.",USD,84.56,-3.55,,,,,,,,,無法判讀,-43.3953,9.274,5.6146,,,23.94,60.55,153.2,25.9147,0.6836,29.0,2026-10-02,ok,0.0,2
2026-09-04,DELL,Dell Technologies Inc.,USD,516.39,17.18,30.0576,22.4286,24.211,5.0099,1.5228,299.2529,385.3238,471.3946,顯著高估,18.0514,-238.7378,13.8126,0.7,0.51,19.447,110.22,530.78,96.5784,0.6035,29.0,2026-10-02,ok,46.1809,2
2026-09-04,GOOG,Alphabet Inc.,USD,339.08,19.93,17.0135,17.9984,17.8731,0.9858,-0.999,339.0606,358.7079,378.3552,均值~低估,22.8681,6.6622,10.0934,1.23,0.26,22.975,226.76,404.47,63.2041,0.286,29.0,2026-10-02,ok,17.8681,2
2026-09-04,IGV,iShares Expanded Tech-Software ,USD,106.95,2.941,36.3647,32.3287,31.6827,2.2542,1.7905,88.4503,95.0799,101.7095,顯著高估,,0.2681,,,0.02,,73.93,117.99,74.9433,0.3413,29.0,2026-10-02,ok,53.3031,2
